category,CUSTOMSVALUEPHP
Machinery / Electrical,7318974671151.528
Mineral Products,3236329628411.152
Transportation,2146499573166.686
Metals,1694566166638.4802
Chemicals & Allied Industries,1508835052143.8086
Foodstuffs,1052901235061.0975
Plastics / Rubbers,899763720051.7239
Vegetable Products,889224579815.2021
Miscellaneous,811214837399.2516
Animal & Animal Products,534085114722.464
Wood & Wood Products,436471400626.62305
Textiles,408059199567.4497
Stone / Glass,291773472965.3592
Footwear / Headgear,86397565643.71457
"Raw Hides, Skins, Leather, & Furs",80704794369.78514
